Year,Recruitment,High_Recruitment,Low_Recruitment,StockSize,High_StockSize,Low_StockSize,Landings,Discards,LandingsBMS,Catches,FishingPressure,High_FishingPressure,Low_FishingPressure
1957,138136.830739657,161814.19313494,117924.043849997,65745,74417.8,57072.2,12066.971,760,,12064.4412783524,0.21,0.26,0.173
1958,124119.488805098,145794.007953567,105667.219918567,68162,77037.6,59286.4,14286.6,750,,14284.0921842704,0.21,0.24,0.183
1959,440206.84601084,520068.597434267,372608.667838869,71890,80509.2,63270.8,13831.805,980,,13829.2176004224,0.22,0.25,0.188
1960,40578.7577280627,48226.2134636189,34143.9947383595,74847,83614.4,66079.6,18620.173,1530,,18617.6610742814,0.26,0.29,0.22
1961,65643.9027288245,77692.3441023575,55463.9200973809,106950,118284.6,95615.4,23566.266,2900,,23563.8045377682,0.31,0.35,0.27
1962,10645.5793451125,12619.1401517722,8980.67207670807,89727,99015,80439,26877.228,1560,,26874.7776719819,0.33,0.38,0.29
1963,12339.9839893617,14590.9973843589,10436.2437225118,72381,80328,64434,26164.038,760,,26161.3480809996,0.31,0.35,0.27
1964,590072.0930339,710890.721452348,489787.057940588,54265,61403.4,47126.6,11342.292,300,,11339.3796990701,0.29,0.33,0.24
1965,147266.625240553,183869.215768931,117950.461794519,43969,51156,36782,17043.291,1950,,17040.4935353616,0.29,0.33,0.25
1966,58629.8950548411,75997.8249667205,45231.0917535725,105140,119504.8,90775.2,33339.893,4500,,33336.9365711731,0.33,0.38,0.28
1967,97831.3150933613,133543.159939406,71669.4603994639,104470,115582,93358,33438.554,2700,,33435.5715761641,0.41,0.46,0.35
1968,133652.710240042,185906.660226702,96086.105429066,92616,101942.6,83289.4,33179.236,2300,,33175.9696468488,0.50,0.57,0.44
1969,86595.2289433552,117003.602043199,64089.7677063267,71403,78878,63928,27559.449,2700,,27556.0334743535,0.55,0.63,0.47
1970,198789.151142954,268026.195736049,147437.553645139,64885,72004.4,57765.6,19684.377,2400,,19680.8800758818,0.52,0.59,0.46
1971,57814.7955339681,76727.8481241497,43563.7211827721,55621,61819.8,49422.2,23652.26,2800,,23648.5927163501,0.49,0.57,0.42
1972,119610.989293197,159331.146847995,89792.7934539139,63699,71176.8,56221.2,21086.535,2300,,21082.5156247571,0.52,0.58,0.46
1973,154972.041157192,199398.377586531,120443.976681827,47266,52627,41905,19308.089,2000,,19304.0875762567,0.56,0.63,0.49
1974,121905.3252606,154517.092458476,96176.4688323151,46484,51739,41229,17989.776,2500,,17985.6466045057,0.55,0.62,0.49
1975,60657.5869178236,76392.5150648624,48163.6564468301,48190,53802.4,42577.6,20772.683,2300,,20768.5462160276,0.51,0.57,0.45
1976,149492.275263552,193427.878298055,115536.294768417,47368,52204.4,42531.6,17325.954,1750,,17321.861061329,0.48,0.54,0.42
1977,185720.846488829,244272.577094082,141203.86836236,38478,41995.6,34960.4,18003.411,2000,,17999.6132253656,0.48,0.53,0.42
1978,62255.3652893493,79680.4866663305,48640.8990389367,44399,49564.4,39233.6,20279.755,3100,,20275.9525572288,0.49,0.56,0.42
