Year,Recruitment,High_Recruitment,Low_Recruitment,StockSize,High_StockSize,Low_StockSize,Landings,Discards,LandingsBMS,Catches,FishingPressure,High_FishingPressure,Low_FishingPressure
1979,17157.6599981603,21925.815247161,13426.424207902,52828,58741.4,46914.6,22598.057,2200,,22593.8719955527,0.51,0.56,0.45
1980,188527.657642301,242384.357662554,146637.671006703,40157,43934.6,36379.4,15806.241,1030,,15802.2093877495,0.52,0.58,0.47
1981,246471.094032377,329219.506407054,184521.266241152,26815,29004.4,24625.6,15402.931,1940,,15399.1217679529,0.55,0.60,0.49
1982,213202.9909454,287052.383789129,158352.683743801,38826,44263.4,33388.6,21578.203,4200,,21574.4102274485,0.58,0.64,0.51
1983,195633.834570381,258548.868115987,148028.48493439,51811,59617.2,44004.8,24927.188,4900,,24923.4496142373,0.61,0.69,0.54
1984,92226.2429740529,119386.331877466,71245.0056832218,51958,58450.4,45465.6,26839.357,4200,,26835.5544195622,0.63,0.69,0.57
1985,113436.671518902,142834.229136551,90089.59913233,47459,53133,41785,24248.107,2800,,24244.268401182,0.63,0.70,0.55
1986,168720.706068921,211284.321360156,134731.609393159,38541,41783.8,35298.2,18200.55,2000,,18196.7625145922,0.59,0.65,0.54
1987,81633.9085016098,100552.976806623,66274.4677371923,34467,37810,31124,17368.143,2300,,17364.65229449,0.54,0.60,0.49
1988,594217.088242986,722126.781424226,488963.928555007,41698,46156,37240,21590.045,2100,,21586.2135630797,0.50,0.55,0.45
1989,115035.953774431,138582.625397834,95490.1137339814,37706,41134.6,34277.4,21804.392,4200,,21800.8617464108,0.47,0.52,0.43
1990,221903.970066014,267748.66438333,183908.935809147,108460,123206.4,93713.6,35120.533,5100,,35116.9010516755,0.46,0.51,0.41
1991,96182.2395935661,118529.837368234,78048.05455435,85409,94140.8,76677.2,33513.733,3300,,33510.224319406,0.46,0.50,0.42
1992,513497.274169124,643411.649642869,409814.542098326,84047,90978.6,77115.4,29341.262,2600,,29337.8801501017,0.49,0.54,0.44
1993,116657.78344517,151015.838345225,90116.6300665072,58217,62566.2,53867.8,31491.018,5500,,31487.8811491685,0.53,0.58,0.49
1994,82536.8385056237,106414.805963395,64016.7470008518,88988,100582,77394,33002.073,5400,,32999.0972087588,0.59,0.65,0.53
1995,123995.431355356,159781.094810553,96224.5690907937,67536,74360.4,60711.6,30468.35,3100,,30465.253199182,0.65,0.71,0.59
1996,79618.360119234,100301.908330966,63200.0265354768,41123,44579.6,37666.4,22650.424,2200,,22647.4189859269,0.69,0.75,0.63
1997,321258.058595783,408995.732097068,252341.851303811,33626,37227.2,30024.8,14901.559,2000,,14898.772473638,0.70,0.76,0.63
1998,149342.857709517,192674.978681246,115756.022403629,24543,26896.4,22189.6,20867.299,3900,,20864.5324864525,0.67,0.73,0.62
1999,117242.5330181,147469.993475192,93210.9049751377,47780,55739.6,39820.4,23475.237,4400,,23472.2956730649,0.65,0.72,0.58
2000,134188.391729739,166981.782730077,107835.263108438,39774,44268.6,35279.4,22641.434,3000,,22638.5639792743,0.64,0.70,0.59
2001,67305.6860380986,81741.2459626489,55419.4558660029,33416,36665.4,30166.6,19944.022,2500,,19940.888392945,0.64,0.69,0.58
2002,198789.151142954,240037.39435511,164629.043396776,32846,36052.6,29639.4,16945.718,1710,,18657.691,0.61,0.66,0.56
2003,97343.379373726,117630.778248008,80554.8823958205,25750,28049,23451,17920.514,1360,,19284.18,0.57,0.61,0.52
2004,54339.1369257025,66008.9752236421,44732.4290647779,38227,42893.6,33560.4,18757.071,2200,,20938.484,0.55,0.60,0.49
2005,56613.3442195673,69062.9716505418,46407.9472273631,31950,35055.8,28844.2,16354.785,1340,,17696.05,0.55,0.59,0.50
2006,179333.055281553,213641.787222786,150533.962174169,25314,27265.8,23362.2,12594.036,990,,13587.848,0.53,0.59,0.48
2007,67440.4321113326,79895.7548856023,56926.8278380442,17997,19314.82,16679.18,14635.116,870,,15506.117,0.48,0.52,0.44
2008,74981.7477824331,89724.2179588898,62661.5938083121,32908,36665.6,29150.4,14071.085,550,,14616.097,0.44,0.48,0.40
2009,96567.7390368278,116882.682844685,79783.659954798,30180,32807.6,27552.4,13951.884,1260,,15213.11,0.45,0.49,0.41
2010,180773.473715317,215640.942442533,151543.804385901,29099,31509.2,26688.8,12603.132,2200,,14849.318,0.50,0.55,0.46
2011,174555.845335205,203148.801130903,149987.314574672,26757,29110.2,24403.8,11484.856,1700,,13187.867,0.52,0.57,0.47
2012,46583.4217323153,54151.1234926171,40073.3177878868,28825,31670.2,25979.8,12167.942,2500,,14695.54,0.47,0.51,0.43
2013,90762.3653368223,106854.780496089,77093.4807342225,33067,35904.2,30229.8,13838.701,2100,,15957.846,0.42,0.46,0.38
2014,154817.146576233,185650.28597451,129104.831421039,29169,31460.2,26877.8,13071.978,1570,,14639.995,0.40,0.43,0.36
2015,111747.819502101,135624.863930644,92074.3792956733,27564,29762,25366,12826.662,1760,,14589.364,0.41,0.45,0.36
2016,64408.4426145968,79321.1435937361,52299.3907057766,33064,36293.4,29834.6,14118.428,1210,,15323.491,0.44,0.50,0.39
2017,133519.124333887,171020.720387362,104240.916086126,28847,31889.2,25804.8,12327.202,1250,,13573.341,0.48,0.55,0.41
2018,106085.430860093,144856.662790075,77691.4117998219,23340,26334,20346,11208.702,1060,,12265.1822,0.44,0.53,0.36
2019,414571.195013992,613588.630689343,280105.052699951,23413,27594.6,19231.4,8658.28762608424,1950,,10606.9006167332,0.34,0.41,0.26
2020,48146.3206511396,89050.5976416847,26030.9111183019,29141,35565.2,22716.8,8840.93353416125,1650,,10489.9568185496,0.23,0.31,0.158
2021,113711.180824501,,,64792.8904888092,,,,"",,,"","",""
