Rationale,Fbar_2020,Landings_2020,Discards_2020,Catch_2020,SSB_2020,Fbar_2021,Landings_2021,Discards_2021,Catch_2021,SSB_2021,SSB_2022,SSBchange_2022
Fmult(2020)=0,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.01,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.02,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.03,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.04,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.05,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.06,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.07,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.08,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.09,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.1,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.11,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.12,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.13,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.14,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.15,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.16,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.17,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.18,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.19,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.2,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.21,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.22,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
Fmult(2020)=0.23,0.3534962,9424.04493517762,1685.51591761527,11109.5608527929,20330.0413622138,0.2535146,9412.64053771869,1125.69102708401,10538.3315648027,38289.9880259101,34967.5551975936,-8.67702759809746
