Year,1,2,3,4,5,6,7,8,9,10+
1957,2.25,1472,10556,13150,3913,3041,6780,1803,529,6541
1958,2.25,1863,8482,14240,9547,3501,3023,4461,2264,6590
1959,2.25,3694,12139,10499,9060,5823,1217,2044,2598,5668
1960,2.25,11965,14043,16691,9248,8313,4815,1583,1049,7851
1961,2.25,972,50470,19403,12574,4760,3998,4338,847,7355
1962,2.25,1584,6173,58836,15254,10478,4797,4087,2074,7450
1963,2.25,670,8271,8485,45823,8420,6603,2403,3365,8316
1964,53,150,2041,5518,3680,16749,3020,1749,790,2913
1965,2.25,45180,1045,1534,4798,2381,11990,1494,1463,3077
1966,2.25,12145,132170,979,1168,3649,736,6255,694,2424
1967,2.25,3769,26260,87039,1998,548,1962,777,5160,2978
1968,1034,17093,13852,24894,48417,461,244,1639,323,6502
1969,404,24404,21884,5433,12638,25646,338,249,1214,5379
1970,1299,6141,25996,8236,1784,3231,11961,246,140,5234
1971,425,33765,14596,12909,4538,1459,2355,7300,194,4649
1972,354,7511,36356,6997,4911,1548,517,1218,4654,2772
1973,716,12459,13025,16493,4101,2368,1013,779,1241,5899
1974,100,15171,21248,5412,6965,1896,1563,649,396,4750
1975,267,23193,28833,11839,2110,3870,798,916,513,3481
1976,1064,3619,28571,14316,4923,987,1950,562,434,2721
1977,1780,22747,12299,15593,7580,1812,325,1133,261,2155
1978,27,24921,29163,6102,6610,4231,1730,608,643,1595
1979,9,8280,41681,16259,3033,3262,1769,826,244,1546
1980,650,1233,12762,18138,7444,1479,2241,1437,374,1227
1981,434,29983,3344,7046,8439,3757,973,909,786,932
1982,2697,26799,46375,1868,3584,4855,1701,623,613,1295
1983,391,34545,41551,21273,626,1383,1958,982,388,1181
1984,192,30839,44081,22631,8821,744,857,1047,526,897
1985,163,16449,42773,20079,9307,3520,207,375,631,965
1986,372,9304,18381,17591,7698,5480,2256,109,281,1671
1987,93,28896,21927,8851,6477,3102,1559,898,81,690
1988,10,13206,47135,15217,4377,3878,1549,890,523,317
1989,115,45652,17973,22295,4551,1627,1414,637,451,459
1990,854,11816,103380,9667,9099,3315,1032,1186,548,837
1991,118,12938,24985,76580,6609,3612,1706,707,718,1072
1992,965,6730,43713,15961,37745,2440,2995,730,393,1163
1993,53,49870,16575,31047,13709,23758,1472,1170,456,833
1994,709,7710,86349,13387,18513,5642,11174,458,905,897
1995,4766,12674,16700,68073,6262,7254,1981,5971,293,665
1996,170,18609,16005,16770,26946,3814,4725,932,3267,976
1997,1574,5987,23418,7253,5058,12667,1189,2303,330,1672
1998,242,56162,15011,14806,3466,1924,4727,787,1022,838
1999,284,15601,71730,8103,6049,1200,657,1964,328,804
2000,2329,14929,32425,42394,3257,2453,796,431,922,708
2001,857,25045,20925,19260,16211,1383,808,266,163,701
2002,7507,23564,37782,13214,8417,6393,667,592,88,362
2003,2203,39447,22538,17284,6195,3902,2427,400,128,451
2004,809,27792,55452,11250,7980,2179,902,962,389,389
2005,3387,12876,27429,30133,4543,3924,1513,602,768,392
2006,9398,15693,13102,10260,11140,1645,1595,731,373,553
2007,1133,44566,13830,7026,5932,5536,823,725,498,541
2008,3189,9029,39191,6367,3034,2393,2621,448,491,459
2009,4325,16897,14423,27547,3544,1657,1600,1532,312,864
2010,6058,23823,20024,10074,14116,1848,917,811,1198,690
2011,3501,22290,25270,9652,5424,6469,983,431,283,765
2012,1133,25995,38049,12053,4515,2378,4108,591,293,1029
2013,4653,8474,40747,25149,5983,2167,1551,2249,242,471
2014,7533,13947,9287,26430,12806,2829,2006,626,840,459
2015,9655,19678,20502,6729,16284,6572,1485,612,401,546
2016,5264,11489,29297,12882,4766,9530,4721,778,279,855
2017,6499,9099,21274,19530,6378,2207,4087,2143,443,498
2018,3259,18901,10888,13442,11281,4016,1111,2067,840,436
2019,13084.526851,14848.053581,21243.007241,7877.15634,6171.587835,5578.332959,1718.233624,714.108364,1702.710085,473.548
2020,2575.992357,35226.472965,12180.988912,11824.994185,2956.653701,2199.199918,1560.226799,574.303486,157.44722,1258.466
2021,2660.119515,4351.360604,29289.312671,8511.457021,4808.679557,1284.766917,834.43637,723.019564,251.693548,261.972
