Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
Belgium	4	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_70-99_0_0_all	39600	kWd	0.98	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_32-69_0_0_all	34800	kWd	0.33	Discards	R-Reported	Raised Discard
Belgium	3	Quarter	2020	sol.27.4	27.4.b	TBB_DEF_>=120_0_0_all	171600	kWd	6.28	Discards	R-Reported	Raised Discard
Belgium	2	Quarter	2020	sol.27.4	27.4.b	TBB_DEF_>=120_0_0_all	104400	kWd	0.55	Discards	R-Reported	Raised Discard
Belgium	1	Quarter	2020	sol.27.4	27.4.b	OTB_CRU_70-99_0_0_all	20995	kWd	1761.66	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2020	sol.27.4	27.4.b	SSC_DEF_70-99_0_0_all	9600	kWd	0.33	Discards	R-Reported	Raised Discard
Belgium	4	Quarter	2020	sol.27.4	27.4.b	OTB_DEF_100-119_0_0_all	4641	kWd	0.14	Discards	R-Reported	Raised Discard
Belgium	2	Quarter	2020	sol.27.4	27.4.c	GTR_DEF_all_0_0_all	9460	kWd	699.42	Discards	R-Reported	Raised Discard
Belgium	2	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_70-99_0_0_all	9382	kWd	9093.59	Discards	R-Reported	Raised Discard
Belgium	1	Quarter	2020	sol.27.4	27.4.c	TBB_CRU_16-31_0_0_all	45619	kWd	4457.64	Discards	R-Reported	Raised Discard
Belgium	2	Quarter	2020	sol.27.4	27.4.c	GNS_DEF_all_0_0_all	2640	kWd	140.69	Discards	R-Reported	Raised Discard
Belgium	3	Quarter	2020	sol.27.4	27.4.c	TBB_CRU_16-31_0_0_all	158474	kWd	9706.96	Discards	R-Reported	Raised Discard
Denmark	2	Quarter	2020	sol.27.4	27.4	GNS_DEF_100-119_0_0_all	54521	kWd	15448.19	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2020	sol.27.4	27.4	GNS_DEF_120-219_0_0_all	105806	kWd	216.88	Discards	R-Reported	Raised Discard
France	1	Quarter	2020	sol.27.4	27.4	GTR_DEF_120-219_0_0_all	221	kWd	5.39	Discards	R-Reported	Raised Discard
UK (England)	3	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all_FDF	-9	NA	203.27	Discards	A-All - reported, nonre	Raised Discard
UK (England)	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all_FDF	-9	NA	0.00	Discards	A-All - reported, nonre	Raised Discard
Netherlands	4	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	95617	kWd	0.00	Discards	R-Reported	Imported
Netherlands	2	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all	60175	kWd	0.00	Discards	R-Reported	Imported
Netherlands	2	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	45804	kWd	0.00	Discards	R-Reported	Imported
Netherlands	3	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	181077	kWd	883.71	Discards	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	-9	dop	1315.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	73186	kWd	602.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	SSC_DEF_>=120_0_0_all	-9	NA	0.00	Discards	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	-9	NA	33.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	-9	NA	1.00	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0	1184415	kWd	2.67	Discards	R-Reported	Raised Discard
France	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0	284129	kWd	0.00	Discards	R-Reported	Raised Discard
France	2	Quarter	2020	sol.27.4	27.4	TBB_DEF_70-99_0_0_all	810	kWd	224.99	Landings	R-Reported	Imported
Netherlands	1	Quarter	2020	sol.27.4	27.4	TBB_DEF_100-119_0_0_all	111938	kWd	5790.00	Landings	R-Reported	Imported
France	2	Quarter	2020	sol.27.4	27.4	GTR_DEF_120-219_0_0_all	1394	kWd	11.24	Discards	R-Reported	Raised Discard
France	3	Quarter	2020	sol.27.4	27.4	TBB_DEF_70-99_0_0_all	810	kWd	19.97	Discards	R-Reported	Raised Discard
France	1	Quarter	2020	sol.27.4	27.4	GTR_DEF_90-99_0_0_all	53521	kWd	3164.88	Discards	R-Reported	Raised Discard
France	3	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0	1496927	kWd	5.46	Discards	R-Reported	Raised Discard
France	3	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0	34144	kWd	0.00	Discards	R-Reported	Raised Discard
UK(Scotland)	2020	Year	2020	sol.27.4	27.4	TBB_DEF_70-99_0_0_all	210528	kWd	245.99	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_HC	-9	dop	5.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	SDN_DEF_>=120_0_0_all	34040	kWd	4.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	GNS_DEF_>=220_0_0_all	13054	kWd	8735.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	GNS_DEF_100-119_0_0_all	1470	kWd	22.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	GNS_DEF_>=220_0_0_all	1270	kWd	812.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_HC	-9	dop	14.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_HC	-9	dop	96.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	103203	kWd	290.00	Landings	R-Reported	Imported
Netherlands	1	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	322315	kWd	20940.00	Landings	R-Reported	Imported
Netherlands	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	8168	kWd	390.00	Landings	R-Reported	Imported
Germany	3	Quarter	2020	sol.27.4	27.4	GNS_DEF_all_0_0_all	2832	kWd	0.00	Landings	R-Reported	Imported
Germany	2	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	989994	kWd	9818.00	Discards	R-Reported	Imported
UK (England)	4	Quarter	2020	sol.27.4	27.4	FPO_CRU_0_0_0_all	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.c	MIS_MIS_0_0_0_HC	14365	kWd	3201.00	Landings	R-Reported	Imported
Germany	4	Quarter	2020	sol.27.4	27.4	GNS_DEF_all_0_0_all	5005	kWd	227.45	Discards	R-Reported	Raised Discard
UK (England)	1	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_HC	-9	NA	0.01	Discards	A-All - reported, nonre	Raised Discard
Denmark	2	Quarter	2020	sol.27.4	27.4	GNS_DEF_100-119_0_0_all	54521	kWd	68735.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	GNS_DEF_120-219_0_0_all	105806	kWd	965.00	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.4	27.4	GTR_DEF_120-219_0_0_all	221	kWd	24.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	122026	kWd	0.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.b	MIS_MIS_0_0_0_IBC	729937	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	4	Quarter	2020	sol.27.4	27.4.b	MIS_MIS_0_0_0_IBC	13800	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	1	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	28980	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	3	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	125047	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2020	sol.27.4	27.4.b	MIS_MIS_0_0_0_IBC	224339	kWd	0.00	Landings	R-Reported	Imported
UK(Scotland)	2020	Year	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	1618705	kWd	60.00	Landings	R-Reported	Imported
UK (England)	3	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all_FDF	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all_FDF	-9	NA	57.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all_FDF	-9	NA	88.00	Landings	A-All - reported, nonre	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.b	TBB_DEF_>=120_0_0_all	171600	kWd	1873.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.b	TBB_DEF_>=120_0_0_all	104400	kWd	163.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.c	OTB_DEF_32-69_0_0_all	63350	kWd	27.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.b	SSC_DEF_32-69_0_0_all	32400	kWd	1.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.b	OTB_CRU_70-99_0_0_all	20995	kWd	494.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.b	SSC_DEF_70-99_0_0_all	9600	kWd	2.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.c	GNS_DEF_all_0_0_all	2640	kWd	626.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.b	OTB_DEF_100-119_0_0_all	4641	kWd	55.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.b	SSC_DEF_32-69_0_0_all	20400	kWd	2.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_70-99_0_0_all	21078	kWd	1126.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.c	GTR_DEF_all_0_0_all	9460	kWd	3112.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_70-99_0_0_all	39600	kWd	6.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_70-99_0_0_all	9382	kWd	2550.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	TBB_CRU_16-31_0_0_all	45619	kWd	1250.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_32-69_0_0_all	34800	kWd	2.00	Landings	R-Reported	Imported
France	1	Quarter	2020	sol.27.4	27.4	GTR_DEF_all_0_0_all	186	kWd	0.90	Discards	R-Reported	Raised Discard
Germany	4	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	1141287	kWd	7.13	Discards	R-Reported	Raised Discard
UK (England)	4	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all_FDF	-9	NA	570.58	Discards	A-All - reported, nonre	Raised Discard
Belgium	3	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_70-99_0_0_all	663	kWd	39.23	Discards	R-Reported	Raised Discard
Sweden	3	Quarter	2020	sol.27.4	27.4.b	SDN_DEF_>=120_0_0_all	3995	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.b	SDN_DEF_>=120_0_0_all	8453	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	3	Quarter	2020	sol.27.4	27.4.a	OTB_CRU_32-69_0_0_all	7209	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.a	OTB_CRU_32-69_0_0_all	6526	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	-9	dop	1754.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	-9	dop	1965.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_IBC	1	kWd	54.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	-9	dop	0.00	Discards	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	OTB_CRU_32-69_0_0_all	-9	NA	0.00	Discards	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	-9	NA	0.00	Discards	R-Reported	Imported
France	2	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0	59326	kWd	0.00	Discards	R-Reported	Raised Discard
Netherlands	4	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	393516	kWd	20350.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.4	27.4	GTR_DEF_90-99_0_0_all	24722	kWd	1274.72	Discards	R-Reported	Raised Discard
France	1	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0	980025	kWd	0.49	Discards	R-Reported	Raised Discard
France	4	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0	1316089	kWd	0.07	Discards	R-Reported	Raised Discard
France	1	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0	115944	kWd	0.00	Discards	R-Reported	Raised Discard
France	4	Quarter	2020	sol.27.4	27.4	GTR_DEF_90-99_0_0_all	26319	kWd	1185.52	Discards	R-Reported	Raised Discard
France	2	Quarter	2020	sol.27.4	27.4	GTR_DEF_90-99_0_0_all	38755	kWd	2211.01	Discards	R-Reported	Raised Discard
UK(Scotland)	2020	Year	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	172487	kWd	0.86	Discards	R-Reported	Raised Discard
Denmark	3	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	94386	kWd	58.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	GNS_DEF_100-119_0_0_all	15011	kWd	9578.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	51686	kWd	190.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2020	sol.27.4	27.4	GNS_DEF_120-219_0_0_all	200683	kWd	18194.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	MIS_MIS_0_0_0_IBC	1	kWd	6.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all	36127	kWd	76.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	85732	kWd	1043.00	Landings	R-Reported	Imported
Netherlands	1	Quarter	2020	sol.27.4	27.4	OTB_DEF_100-119_0_0_all	58918	kWd	100.00	Landings	R-Reported	Imported
Netherlands	4	Quarter	2020	sol.27.4	27.4	TBB_DEF_100-119_0_0_all	75576	kWd	24990.00	Landings	R-Reported	Imported
Germany	2	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	1878	kWd	25.00	Landings	R-Reported	Imported
Germany	3	Quarter	2020	sol.27.4	27.4	TBB_CRU_16-31_0_0_all	1190245	kWd	24542.00	Discards	R-Reported	Imported
UK (England)	4	Quarter	2020	sol.27.4	27.4	FPO_CRU_0_0_0_all	-9	NA	150.00	Landings	A-All - reported, nonre	Imported
UK(Northern Ireland)	2	Quarter	2020	sol.27.4	27.4.b	OTB_CRU_70-99_0_0_all	1399	kWd	12.00	Landings	R-Reported	Imported
Germany	1	Quarter	2020	sol.27.4	27.4	GNS_DEF_all_0_0_all	37551	kWd	1119.70	Discards	R-Reported	Raised Discard
Germany	2	Quarter	2020	sol.27.4	27.4	GNS_DEF_all_0_0_all	80443	kWd	2353.13	Discards	R-Reported	Raised Discard
UK (England)	4	Quarter	2020	sol.27.4	27.4	TBB_DEF_>=120_0_0_all	-9	NA	2.19	Discards	A-All - reported, nonre	Raised Discard
Denmark	4	Quarter	2020	sol.27.4	27.4	SDN_DEF_>=120_0_0_all	32077	kWd	20.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2020	sol.27.4	27.4	GNS_DEF_120-219_0_0_all	205009	kWd	10529.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2020	sol.27.4	27.4	GNS_DEF_>=220_0_0_all	29897	kWd	386.00	Landings	R-Reported	Imported
France	3	Quarter	2020	sol.27.4	27.4	GTR_DEF_all_0_0_all	147	kWd	24.00	Landings	R-Reported	Imported
Sweden	4	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	103786	kWd	0.00	BMS landing	R-Reported	Imported
Sweden	3	Quarter	2020	sol.27.4	27.4.b	MIS_MIS_0_0_0_IBC	224339	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.b	MIS_MIS_0_0_0_IBC	729937	kWd	0.00	Landings	R-Reported	Imported
Sweden	2	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	122026	kWd	0.00	Logbook Registered Discard	R-Reported	Imported
Sweden	1	Quarter	2020	sol.27.4	27.4.a	MIS_MIS_0_0_0_IBC	28980	kWd	0.00	Landings	R-Reported	Imported
UK(Scotland)	2020	Year	2020	sol.27.4	27.4	MIS_MIS_0_0_0_HC	10495580	kWd	44559.00	Landings	R-Reported	Imported
UK(Scotland)	2020	Year	2020	sol.27.4	27.4	OTB_DEF_>=120_0_0_all	13397394	kWd	892.00	Landings	R-Reported	Imported
UK (England)	3	Quarter	2020	sol.27.4	27.4	OTB_CRU_70-99_0_0_all_FDF	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all_FDF	-9	NA	62.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2020	sol.27.4	27.4	OTB_DEF_70-99_0_0_all_FDF	-9	NA	0.00	BMS landing	A-All - reported, nonre	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.b	TBB_DEF_>=120_0_0_all	754024	kWd	25943.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	OTB_DEF_32-69_0_0_all	63211	kWd	6.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.b	OTB_DEF_100-119_0_0_all	198946	kWd	456.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.c	MIS_MIS_0_0_0_HC	13481	kWd	1434.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	GTR_DEF_all_0_0_all	3960	kWd	845.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_70-99_0_0_all	15600	kWd	4.00	Landings	R-Reported	Imported
Belgium	2	Quarter	2020	sol.27.4	27.4.b	OTB_CRU_70-99_0_0_all	42874	kWd	533.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_70-99_0_0_all	12828	kWd	1158.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.c	GNS_DEF_all_0_0_all	7260	kWd	2241.00	Landings	R-Reported	Imported
Belgium	4	Quarter	2020	sol.27.4	27.4.c	TBB_CRU_16-31_0_0_all	151844	kWd	1383.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	SSC_DEF_70-99_0_0_all	70800	kWd	14.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.b	OTB_CRU_70-99_0_0_all	140466	kWd	4985.00	Landings	R-Reported	Imported
Belgium	3	Quarter	2020	sol.27.4	27.4.c	GTR_DEF_all_0_0_all	2420	kWd	748.00	Landings	R-Reported	Imported
Belgium	1	Quarter	2020	sol.27.4	27.4.c	OTB_CRU_16-31_0_0_all	1846	kWd	3.00	Landings	R-Reported	Imported
Netherlands	1	Quarter	2020	sol.27.4	27.4	GNS_DEF_all_0_0_all	917	kWd	94.40	Discards	R-Reported	Raised Discard
